200501,13,7,10
200501,7,9,10
200501,9,1,10
200501,1,6,10
200501,6,8,10
200501,6,3,5
200501,6,2,5
200501,6,4,5
200501,4,5,5
200501,4,10,5
200501,20,2,1
200501,15,3,1
200501,20,3,1
200501,18,4,1
200501,14,5,1
200501,15,5,1
200501,18,6,1
200501,20,6,1
200501,15,8,1
200501,22,8,1
200501,14,9,1
200501,15,9,1
200501,22,9,1
200501,22,10,1
200501,21,11,1
200501,1,14,1
200501,3,14,1
200501,6,14,1
200501,9,14,1
200501,21,14,1
200501,4,15,1
200501,16,15,1
200501,17,15,1
200501,3,16,1
200501,10,16,1
200501,20,16,1
200501,22,17,1
200501,2,18,1
200501,6,18,1
200501,16,18,1
200501,7,19,1
200501,8,19,1
200501,11,19,1
200501,18,19,1
200501,22,19,1
200501,6,20,1
200501,10,20,1
200501,6,21,1
200501,11,21,1
200501,13,21,1
200501,20,21,1
200501,2,22,1
200501,7,22,1
200501,10,22,1
200501,14,22,1
200501,15,22,1
200501,16,22,1
